population,hdi,gdp_ppp,ppp_pc,overall score,financial freedom,tax burden,name,mipex_score,labor freedom,fiscal health,government integrity,business freedom,gdp,rank,monetary freedom,investment freedom,trade freedom,property rights,government spending,norm_name,index year,judicial effectiveness
207700000.0,0.759,3240319.0,15238.0,51.9,50.0,70.5,brazil,,51.9,5.9,28.1,57.9,1800000000000.0,52.0,75.5,50.0,69.0,57.3,55.2,brazil,2019.0,51.7
35300000.0,0.667,300556.0,8160.0,62.9,70.0,72.2,morocco,,33.1,66.9,39.2,70.3,101400000000.0,53.0,83.5,65.0,77.4,57.2,72.7,morocco,2019.0,47.1
21200000.0,0.77,278415.0,12285.0,56.4,40.0,84.9,sri lanka,,58.8,30.4,28.9,75.1,81300000000.0,54.0,70.1,40.0,76.2,44.7,88.3,sri lanka,2019.0,39.4
4000000.0,0.789,100512.0,22989.0,67.2,70.0,85.0,panama,,43.4,91.3,34.1,73.6,55200000000.0,55.0,79.4,75.0,79.2,60.4,85.3,panama,2019.0,30.1
43800000.0,0.825,920249.0,20053.0,52.2,60.0,69.3,argentina,,46.9,33.0,33.5,56.4,545900000000.0,56.0,60.2,55.0,70.0,47.8,49.5,argentina,2019.0,44.5
48500000.0,0.59,164340.0,3364.0,55.1,50.0,79.5,kenya,,63.4,13.8,32.1,55.8,70500000000.0,57.0,72.7,55.0,60.4,53.8,77.8,kenya,2019.0,46.9
52900000.0,0.578,334856.0,5804.0,,,,myanmar,,,,,,67400000000.0,58.0,,,,,,myanmar,,
16400000.0,0.752,184629.0,11185.0,46.9,40.0,77.0,ecuador,,48.2,32.1,25.3,54.1,97800000000.0,59.0,73.5,35.0,66.4,35.9,55.5,ecuador,2019.0,20.2
9500000.0,0.808,173405.0,18073.0,57.9,10.0,89.4,belarus,,75.3,85.4,37.7,75.0,47400000000.0,60.0,67.0,30.0,76.4,55.2,41.3,belarus,2019.0,51.7
1400000.0,,69922.0,50719.0,66.4,80.0,99.7,bahrain,,71.1,3.7,53.6,71.4,31900000000.0,61.0,81.6,75.0,83.8,63.5,62.7,bahrain,2019.0,50.7
55900000.0,0.699,765568.0,13291.0,58.3,50.0,62.1,south africa,,59.1,62.6,39.7,64.3,294800000000.0,62.0,75.2,45.0,76.0,58.8,67.6,south africa,2019.0,39.3
10900000.0,0.693,83608.0,7229.0,42.3,40.0,82.4,bolivia,,52.9,17.6,19.7,58.8,33800000000.0,63.0,68.8,15.0,70.4,20.5,49.3,bolivia,2019.0,12.3
17800000.0,0.8,477593.0,25167.0,65.4,50.0,93.4,kazakhstan,,86.2,41.0,40.3,73.9,133700000000.0,64.0,70.9,50.0,80.0,59.3,83.7,kazakhstan,2019.0,56.1
48700000.0,,714004.0,14126.0,67.3,70.0,74.3,colombia,,78.5,79.2,33.5,71.4,282500000000.0,65.0,75.6,80.0,76.0,59.2,75.0,colombia,2019.0,34.3
28200000.0,0.592,131498.0,4383.0,57.5,60.0,78.8,ghana,,59.9,23.9,35.5,56.5,42700000000.0,66.0,66.3,70.0,63.4,49.1,82.0,ghana,2019.0,44.2
9800000.0,,167431.0,17453.0,65.4,60.0,87.5,azerbaijan,,63.9,89.4,44.7,69.5,37800000000.0,67.0,63.0,60.0,74.6,59.1,59.5,azerbaijan,2019.0,53.1
16600000.0,0.65,138987.0,7945.0,62.6,50.0,79.2,guatemala,,48.7,96.2,26.4,53.6,68800000000.0,68.0,77.0,70.0,82.2,40.3,95.6,guatemala,2019.0,32.3
55600000.0,0.538,163522.0,3090.0,60.2,50.0,80.5,tanzania,,66.2,85.2,33.2,46.6,47400000000.0,69.0,70.4,55.0,67.8,35.4,90.3,tanzania,2019.0,41.4
95700000.0,0.696,1201188.0,12551.0,52.5,50.0,85.2,egypt,,51.6,0.0,29.2,65.9,336300000000.0,70.0,62.3,60.0,71.8,37.0,68.1,egypt,2019.0,48.3
,,20982857.0,,,,,european union,,,,,,,,,,,,,european union,,
,0.798,1644705.0,,51.1,10.0,80.9,iran,,50.7,89.5,35.0,62.2,,,60.1,5.0,54.6,33.5,89.8,iran,2019.0,41.3
,,1185480.0,,77.3,60.0,75.0,taiwan,,60.9,91.6,69.2,93.2,,,84.4,60.0,87.0,85.4,90.6,taiwan,2019.0,70.1
,0.532,1118756.0,,57.3,40.0,85.0,nigeria,,83.3,68.2,20.5,51.2,,,65.0,45.0,62.4,36.5,96.5,nigeria,2019.0,34.3
,0.562,1056987.0,,55.0,40.0,80.5,pakistan,,41.8,49.2,30.6,56.1,,,72.6,55.0,64.8,41.5,87.6,pakistan,2019.0,40.2
,0.608,687144.0,,55.6,30.0,72.7,bangladesh,,68.2,77.6,24.4,50.9,,,69.9,45.0,63.6,36.1,94.5,bangladesh,2019.0,34.5
,0.685,658791.0,,N/A, N/A,N/A,iraq,,53.1,13.3,20.3,54.4,,,81.4,N/A,N/A,37.0,52.8,iraq,2019.0,12.3
,0.754,632904.0,,46.2,30.0,76.4,algeria,,49.9,18.7,28.9,61.6,,,74.9,30.0,67.4,31.6,48.7,algeria,2019.0,36.2
,0.933,454912.0,,90.2,90.0,93.1,hong kong,,89.2,100.0,83.8,96.4,,,86.4,90.0,95.0,93.3,90.3,hong kong,2019.0,75.3
,0.761,380743.0,,25.9,10.0,74.7,venezuela,,28.0,17.6,7.9,33.9,,,0.0,0.0,60.0,7.6,58.1,venezuela,2019.0,13.1
,0.751,368784.0,,52.3,30.0,81.8,ukraine,,46.7,82.6,29.6,66.1,,,58.6,35.0,75.0,43.9,46.9,ukraine,2019.0,31.5
,0.803,309640.0,,60.8,60.0,97.7,kuwait,,61.7,99.1,35.3,57.4,,,70.6,55.0,79.0,52.9,17.3,kuwait,2019.0,43.3
,0.71,222792.0,,53.3,10.0,91.3,uzbekistan,,58.7,98.7,25.2,72.5,,,58.9,10.0,62.6,49.8,67.4,uzbekistan,2019.0,34.3
,0.463,194980.0,,53.6,20.0,77.2,ethiopia,,58.0,83.3,35.1,48.6,,,60.8,35.0,60.8,32.6,90.4,ethiopia,2019.0,40.9
,0.581,193935.0,,50.6,40.0,83.9,angola,,58.8,58.2,20.5,55.7,,,55.4,30.0,61.2,35.9,80.7,angola,2019.0,26.6
,0.821,189582.0,,61.0,60.0,97.8,oman,,57.3,16.1,53.8,75.2,,,77.7,65.0,87.0,58.1,32.5,oman,2019.0,51.6
,0.502,186715.0,,47.7,20.0,86.3,sudan,,59.0,76.1,26.2,52.1,,,56.9,5.0,45.0,27.5,96.6,sudan,2019.0,22.2
,,179527.0,,,,,slovak republic,,,,,,,,,,,,,slovak republic,,
,,129848.0,,,,,puerto rico,,,,,,,,,,,,,puerto rico,,
,0.787,107131.0,,63.9,50.0,82.0,serbia,,67.4,90.1,37.2,72.9,,,80.0,70.0,77.0,50.1,45.1,serbia,2019.0,44.8
,0.706,103987.0,,48.4,10.0,95.9,turkmenistan,,20.0,92.3,20.3,30.0,,,73.4,10.0,76.0,31.6,92.0,turkmenistan,2019.0,29.8
,,95887.0,,62.4,50.0,77.5,côte d'ivoire,,52.5,74.3,38.1,61.0,,,74.2,75.0,73.6,40.9,83.9,côte d'ivoire,2019.0,47.8
,0.516,91212.0,,59.7,40.0,73.3,uganda,,83.2,68.6,25.4,46.3,,,80.1,55.0,75.4,42.2,88.7,uganda,2019.0,38.5
,,89555.0,,66.5,60.0,91.4,jordan,,52.7,60.6,50.3,61.8,,,85.0,70.0,81.4,58.4,73.4,jordan,2019.0,52.6
,0.757,88786.0,,51.1,50.0,91.8,lebanon,,46.5,0.0,18.2,47.9,,,78.1,60.0,79.0,39.5,75.6,lebanon,2019.0,26.6
,0.706,87067.0,,N/A, N/A,N/A,libya,,51.3,20.0,15.8,40.2,,,52.8,5.0,N/A,7.6,0.0,libya,2019.0,24.4
,0.556,81535.0,,52.4,50.0,74.4,cameroon,,47.8,58.4,25.5,44.4,,,84.0,30.0,53.4,42.5,87.5,cameroon,2019.0,31.3
,0.574,77147.0,,53.8,30.0,84.0,nepal,,47.9,98.5,26.2,61.8,,,69.4,10.0,60.4,39.2,83.7,nepal,2019.0,34.7
,0.452,74250.0,,N/A, N/A,N/A,yemen,,49.8,0.0,20.3,45.1,,,61.5,50.0,71.4,19.6,83.7,yemen,2019.0,22.2
,0.588,68648.0,,53.6,50.0,72.3,zambia,,46.0,12.3,32.3,71.1,,,70.3,55.0,72.6,45.0,80.1,zambia,2019.0,35.6
,,68331.0,,,,,democratic republic of the congo,,,,,,,,,,,,,democratic republic of the congo,,
,,68005.0,,61.8,60.0,96.3,paraguay,,29.2,96.3,25.5,61.5,,,72.8,75.0,76.6,39.5,78.9,paraguay,2019.0,30.0
,0.498,67462.0,,51.5,10.0,91.7,afghanistan,,60.4,99.3,25.2,49.2,,,76.7,10.0,66.0,19.6,80.3,afghanistan,2019.0,29.6
,,65732.0,,71.0,70.0,77.1,macau,,50.0,100.0,33.2,60.0,,,76.5,85.0,90.0,60.0,90.4,macau,2019.0,60.0
,0.582,64405.0,,57.8,50.0,89.7,cambodia,,63.0,89.1,16.7,29.9,,,79.4,60.0,65.4,37.4,85.9,cambodia,2019.0,27.6
,0.674,57285.0,,61.8,60.0,78.1,el salvador,,53.1,81.9,23.4,57.2,,,79.0,75.0,81.4,37.6,86.3,el salvador,2019.0,29.1
